192.168.10.1 - - [30/May/2013:15:05:12 +0000] "GET /index.html HTTP/1.1" 200 44 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:12 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:19 +0000] "GET /index.html HTTP/1.1" 404 224 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:19 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:20 +0000] "GET /index.html HTTP/1.1" 404 224 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:20 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:20 +0000] "GET /index.html HTTP/1.1" 404 224 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:20 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:22 +0000] "GET /index.php HTTP/1.1" 200 30 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:23 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:40 +0000] "GET /index.php HTTP/1.1" 200 30 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:40 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:41 +0000] "GET /index.php HTTP/1.1" 200 30 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:41 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:41 +0000] "GET /index.php HTTP/1.1" 200 30 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:41 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:41 +0000] "GET /index.php HTTP/1.1" 200 30 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:41 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:43 +0000] "GET /index.php HTTP/1.1" 200 30 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:43 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:44 +0000] "GET /index.php HTTP/1.1" 200 30 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:05:44 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:06 +0000] "GET /index.php HTTP/1.1" 200 9946 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:06 +0000] "GET /index.php?=PHPE9568F34-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 2524 "http://frontend.local/index.php" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:06 +0000] "GET /index.php?=PHPE9568F35-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 2146 "http://frontend.local/index.php" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:06 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:07 +0000] "GET /index.php HTTP/1.1" 200 9950 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:07 +0000] "GET /index.php?=PHPE9568F34-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 2524 "http://frontend.local/index.php" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:07 +0000] "GET /index.php?=PHPE9568F35-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 2146 "http://frontend.local/index.php" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:07 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:07 +0000] "GET /index.php HTTP/1.1" 200 9946 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:07 +0000] "GET /index.php?=PHPE9568F34-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 2524 "http://frontend.local/index.php" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:07 +0000] "GET /index.php?=PHPE9568F35-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 200 2146 "http://frontend.local/index.php" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
192.168.10.1 - - [30/May/2013:15:06:07 +0000] "GET /favicon.ico HTTP/1.1" 404 225 "-" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
